"employeeID","months_worked2021","function_group"
3073,12,"01ITE0"
3091,12,"01TR00"
3102,12,"01ITT0"
3118,12,"01PD00"
3119,12,"01TR00"
3120,12,"01ITE0"
3121,12,"01VV00"
3150,12,"01RT01"
3151,12,"01RH01"
3208,12,"01RT01"
3229,12,"01ITT0"
3236,12,"01RH01"
3243,12,"01ITE0"
3283,12,"01RT01"
3298,12,"01KA00"
3309,12,"01TI29"
3310,12,"01RT01"
3315,12,"01RH01"
3318,12,"01ITE0"
3331,12,"01R100"
3352,12,"01TR00"
3355,12,"01GR00"
3389,12,"01TR00"
3392,12,"01ITE0"
3429,9,"01GR00"
3457,12,"01RT01"
3467,12,"01RH01"
3488,12,"01RH01"
3506,12,"01RT01"
3511,12,"01RT01"
3546,12,"01RH01"
3554,12,"01RT01"
3573,12,"01KA00"
3580,12,"01RH01"
3585,12,"01TR00"
3593,12,"01ITC0"
3604,12,"01ITT0"
3609,12,"01T100"
3614,12,"01RH01"
3616,12,"01ITE0"
3705,12,"01T100"
3724,12,"01DO00"
3726,12,"01GR00"
3730,12,"01RH01"
3733,7,"01RH01"
3752,12,"01RT01"
3774,12,"01DR00"
3783,12,"01TI16"
3788,12,"01RT01"
3812,12,"01T100"
3816,12,"01RT01"
3817,12,"01PD00"
3830,12,"01RH01"
3832,12,"01NA00"
3847,12,"01TR00"
3860,12,"01ITI0"
3877,9,"01RT01"
3881,12,"01RH01"
3898,12,"01RT01"
3935,12,"01RH01"
3948,12,"01RH01"
3964,12,"01RH01"
3983,10,"01RT01"
3985,10,"01VV00"
3993,12,"01T100"
4001,9,"01RT01"
4002,12,"01RT01"
4004,12,"01ITI0"
4007,12,"01RH01"
4016,12,"01RH01"
4023,12,"01TI29"
4025,12,"01AS00"
4036,12,"01ND00"
4049,12,"01RT01"
4056,12,"01RT01"
4065,12,"01RT01"
4074,12,"01RH01"
4076,12,"01RH01"
4087,12,"01RH01"
4089,12,"01RT01"
4095,12,"01NA00"
4098,12,"01RH01"
4099,12,"01IN00"
4109,12,"01RT01"
4125,12,"01ITE0"
4135,12,"01RT01"
4169,12,"01RT01"
4197,7,"01RH01"
4204,12,"01RH01"
4248,12,"01RH01"
4253,12,"01RT01"
4259,12,"01T100"
4261,12,"01TR00"
4285,12,"01VV00"
4331,12,"01RH01"
4347,12,"01RH01"
4354,12,"01ITE0"
4364,12,"01RH01"
4369,12,"01TR00"
4374,12,"01RT01"
4375,12,"01RT01"
4398,12,"01PD00"
4428,12,"01ED00"
4443,12,"01RH01"
4454,12,"01RH01"
4468,12,"01RT01"
4480,12,"01RT01"
4486,12,"01RH01"
4508,12,"01AS00"
4543,9,"01RH01"
4577,12,"01RT01"
4581,2,"01RH01"
4582,12,"01RH01"
4623,12,"01RH01"
4626,12,"01PD00"
4691,12,"01T100"
4723,12,"01TI16"
4735,12,"01RT01"
4754,12,"01T100"
4785,12,"01GR00"
4797,12,"01ITE0"
4805,12,"01GR00"
4823,12,"01RH01"
4845,12,"01GR00"
4928,12,"01TI16"
4948,12,"01RT01"
5002,12,"01ITE0"
5015,12,"01RT01"
5021,4,"01RH01"
5025,12,"01RH01"
5028,12,"01RT01"
5035,12,"01TI16"
5046,12,"01GR00"
5054,1,"01RH01"
5055,12,"01RH01"
5057,12,"01VV00"
5076,12,"01RT01"
5077,12,"01RT01"
5154,12,"01RT01"
5163,12,"01RH01"
5168,12,"01RT01"
5185,12,"01RT01"
5187,12,"01DO00"
5255,12,"01GR00"
5301,12,"01RT01"
5307,12,"01RH01"
5314,12,"01NA00"
5315,12,"01GR00"
5319,12,"01RT01"
5346,12,"01RT01"
5352,12,"01KA00"
5365,12,"01VD00"
5370,12,"01RH01"
5371,12,"01RH01"
5377,12,"01RH01"
5383,12,"01RT01"
5386,12,"01AS00"
5433,12,"01TR00"
5459,12,"01ITC0"
5481,12,"01RH01"
5492,12,"01RT01"
5496,12,"01GR00"
5503,12,"01ITE0"
5510,12,"01RH01"
5515,12,"01RT01"
5521,12,"01IN00"
5523,12,"01PD00"
5531,12,"01RH01"
5532,12,"01IN00"
5533,12,"01FK00"
5538,7,"01RT01"
5551,12,"01RT01"
5554,12,"01RH01"
5555,1,"01RH01"
5573,12,"01ITE0"
5585,12,"01T100"
5612,12,"01TI16"
5615,12,"01RT01"
5620,12,"01RT01"
5648,12,"01TI16"
5667,12,"01RT01"
5669,12,"01RT01"
5682,12,"01RT01"
5683,12,"01RT01"
5685,12,"01JD00"
5703,12,"01KA00"
5713,12,"01RT01"
5735,12,"01RH01"
5741,12,"01DR00"
5763,12,"01TR00"
5776,12,"01RT01"
5793,12,"01VV00"
5795,12,"01ITE0"
5801,12,"01GR00"
5823,12,"01RH01"
5829,5,"01RT01"
5838,12,"01RT01"
5844,12,"01T100"
5851,12,"01RT01"
5852,12,"01RT01"
5861,12,"01FK00"
5882,12,"01RT01"
5883,12,"01RT01"
5884,12,"01RT01"
5897,12,"01RT01"
5913,12,"01AS00"
5920,12,"01RT01"
5928,12,"01T100"
5942,12,"01RT01"
5951,2,"01TI16"
5990,12,"01ITT0"
5993,12,"01RT01"
6008,12,"01RT01"
6015,12,"01ITT0"
6029,12,"01RH01"
6041,12,"01RT01"
6052,7,"01T100"
6065,12,"01RT01"
6066,12,"01ITE0"
6132,12,"01ED00"
6139,12,"01RT01"
6140,12,"01RT01"
6147,12,"01TR00"
6168,12,"01RH01"
6201,12,"01RT01"
6232,12,"01RH01"
6252,12,"01SZ10"
6264,12,"01RP00"
6278,12,"01VV00"
6282,12,"01RT01"
6295,12,"01DO00"
6299,12,"01R100"
6315,12,"01GR00"
6332,12,"01ITE0"
6334,12,"01RT01"
6335,12,"01RT01"
6337,12,"01JD00"
6347,12,"01VV00"
6348,12,"01ITD0"
6392,12,"01KF00"
6404,12,"01RT01"
6409,12,"01VV00"
6425,12,"01KA00"
6460,12,"01ITC0"
6461,12,"01RH01"
6478,12,"01VV00"
6506,12,"01RH01"
6516,12,"01RT01"
6525,12,"01GR00"
6527,12,"01ITE0"
6535,11,"01RH01"
6543,12,"01ITI0"
6552,11,"01T100"
6563,12,"01R100"
6568,12,"01PD00"
6574,12,"01RT01"
6577,12,"01SZ10"
6613,12,"01RP00"
6627,12,"01ITT0"
6634,12,"01TI16"
6640,12,"01RH01"
6655,12,"01ITE0"
6659,12,"01RT01"
6722,12,"01JD00"
6723,12,"01GR00"
6741,12,"01ITC0"
6749,12,"01TI16"
6775,12,"01FK00"
6808,12,"01TR00"
6813,12,"01R100"
6819,12,"01FK00"
6831,12,"01DR00"
6832,12,"01RP00"
6841,12,"01RH01"
6845,12,"01RT01"
6870,12,"01ITI0"
6874,12,"01RT01"
6900,12,"01RH01"
6901,12,"01RH01"
6909,12,"01JD00"
6941,4,"01GR00"
6964,12,"01RT01"
6968,12,"01RP00"
6976,12,"01TR00"
6980,12,"01RT01"
6993,12,"01RH01"
7001,12,"01ITE0"
7018,12,"01JD00"
7029,12,"01RT01"
7038,12,"01KA00"
7040,12,"01RH01"
7044,12,"01PB10"
7046,12,"01ITC0"
7065,12,"01RH01"
7068,12,"01RH01"
7071,12,"01ITI0"
7075,12,"01ITD0"
7097,12,"01TI16"
7135,12,"01RH01"
7140,12,"01RP00"
7148,12,"01T100"
7154,12,"01ITI0"
7157,12,"01RP00"
7204,12,"01TI16"
7211,12,"01DR00"
7224,12,"01RH01"
7234,12,"01TI16"
7238,12,"01GR00"
7264,12,"01RH01"
7274,3,"01RH01"
7308,12,"01FK00"
7325,12,"01RH01"
7326,12,"01TR00"
7334,12,"01GR00"
7355,12,"01T100"
7359,12,"01RH01"
7365,12,"01RH01"
7366,12,"01T100"
7394,12,"01RH01"
7398,12,"01RH01"
7425,12,"01SZ10"
7439,12,"01T100"
7440,12,"01RT01"
7441,12,"01RT01"
7445,11,"01TR00"
7484,12,"01RH01"
7494,12,"01RT01"
7498,12,"01RH01"
7534,12,"01RH01"
7535,12,"01RH01"
7545,12,"01RP00"
7580,12,"01GR00"
7605,12,"01GR00"
7626,12,"01FK00"
7653,12,"01FK00"
7696,12,"01ITC0"
7705,12,"01JD00"
7717,12,"01KA00"
7750,12,"01ITE0"
7759,12,"01RH01"
7760,12,"01ITE0"
7766,12,"01KF00"
7814,12,"01ITT0"
7837,12,"01FA00"
7839,12,"01RH01"
7840,12,"01RP00"
7842,12,"01RP00"
7846,4,"01DO00"
7848,12,"01PD00"
7878,4,"01VB00"
7884,12,"01GR00"
7922,12,"01PD00"
7953,3,"01KA00"
7955,12,"01RP00"
7956,12,"01JD00"
7989,12,"01RT01"
7990,12,"01ITI0"
7997,12,"01RT01"
8003,5,"01R010"
8005,6,"01IN00"
8026,12,"01GR00"
8046,12,"01PD00"
8049,12,"01GR00"
8052,12,"01GR00"
8056,12,"01PD00"
8130,12,"01T100"
8152,12,"01ITS0"
8153,12,"01ITC0"
8176,12,"01SZ10"
8207,12,"01AS00"
8212,12,"01KF00"
8235,12,"01RT01"
8238,12,"01RT01"
8241,12,"01DO00"
8247,12,"01RT01"
8250,12,"01RT01"
8251,12,"01RT01"
8255,12,"01RT01"
8256,12,"01T100"
8289,12,"01ITE0"
8315,12,"01TI16"
8334,12,"01ITC0"
8382,12,"01VV00"
8441,12,"01T100"
8533,12,"01ITT0"
8535,12,"01VV00"
8597,12,"01RT01"
9079,12,"01RP00"
9098,12,"01GR00"
9159,12,"01RT01"
9180,12,"01VV00"
9189,12,"01JD00"
9205,12,"01T100"
9207,12,"01RH01"
9208,12,"01GR00"
9209,12,"01RH01"
9210,12,"01RH01"
9243,12,"01PB10"
9244,12,"01ITT0"
9256,12,"01PD00"
9262,12,"01ITE0"
9308,12,"01ITI0"
9383,12,"01GR00"
9411,12,"01T100"
9515,12,"01TR00"
9598,12,"01KD00"
9796,12,"01KA00"
9845,12,"01ITE0"
9853,12,"01T100"
9902,12,"01LD00"
9933,12,"01RH01"
11290,12,"01RH01"
11341,12,"01ITT0"
11344,12,"01TR00"
11364,9,"01ITC0"
11375,12,"01SV00"
11381,12,"01RH01"
11392,12,"01RH01"
11429,12,"01TI16"
11441,12,"01TI16"
11448,12,"01RT01"
11545,12,"01TR00"
11556,12,"01GR00"
11638,12,"01T100"
11704,12,"01T100"
11788,12,"01RH01"
11890,12,"01ITS0"
11912,12,"01RH01"
11940,12,"01TI80"
12001,12,"01ITE0"
12068,12,"01JD00"
12094,12,"01RH01"
12095,12,"01ITT0"
12106,12,"01ITD0"
12113,12,"01ITI0"
12119,12,"01KA00"
12151,12,"01KA00"
12210,12,"01RH01"
12288,12,"01KA00"
12298,12,"01KA00"
12315,12,"01ITT0"
12354,12,"01AS00"
12360,12,"01RP00"
12361,12,"01ED00"
12424,12,"01T100"
12428,12,"01T100"
12451,12,"01ITC0"
12468,12,"01TR00"
12483,12,"01TI80"
12514,12,"01PB10"
12563,12,"01TI29"
12585,11,"01RH01"
12589,12,"01T100"
12607,12,"01TR00"
12642,12,"01ITI0"
12661,11,"01ITT0"
12667,12,"01ITE0"
12723,12,"01ITI0"
12734,12,"01VD00"
12736,12,"01ITT0"
13112,12,"01ITE0"
13125,12,"01ITT0"
13154,12,"01ITC0"
13165,12,"01ITT0"
13182,12,"01KA00"
13184,12,"01ITT0"
13186,11,"01T100"
13195,12,"01ITT0"
13196,12,"01T100"
13202,1,"01VV00"
13203,12,"01ITC0"
13210,12,"01ITS0"
13216,12,"01T100"
13218,12,"01T100"
13219,12,"01T100"
13220,12,"01T100"
13221,12,"01T100"
13222,12,"01T100"
13257,12,"01T100"
13265,12,"01RH01"
13322,12,"01TI16"
13329,12,"01T100"
13331,12,"01DR00"
13334,12,"01DR00"
13335,12,"01TI16"
13336,12,"01ITE0"
13337,12,"01DR00"
13339,12,"01TI16"
13341,12,"01TI16"
13350,12,"01T100"
13352,12,"01T100"
13363,12,"01TI16"
13365,12,"01DR00"
13368,12,"01ITT0"
13369,12,"01DR00"
13376,12,"01T100"
13377,12,"01T100"
13380,12,"01VV00"
13381,12,"01VV00"
13393,4,"01ITE0"
13394,12,"01ITE0"
13395,12,"01ITI0"
13403,12,"01T100"
13414,12,"01ITI0"
13422,12,"01T100"
13443,12,"01ITI0"
13444,12,"01RH01"
13473,12,"01T100"
13477,12,"01ND00"
13486,12,"01T100"
13502,12,"01ITE0"
13505,12,"01T100"
13510,12,"01T100"
13533,12,"01DO00"
13534,12,"01T100"
13543,12,"01TR00"
13545,12,"01TR00"
13560,12,"01KF00"
13573,12,"01T100"
13579,12,"01TI16"
13581,12,"01DR00"
13591,12,"01ND00"
13594,12,"01TI16"
13595,12,"01ITI0"
13597,12,"01TI16"
13604,12,"01SZ10"
13608,12,"01TI29"
13609,12,"01TI16"
13613,12,"01TI16"
13618,12,"01ITC0"
13621,12,"01T100"
13631,1,"01T100"
13633,12,"01T100"
13636,12,"01T100"
13637,12,"01TI16"
13638,12,"01TI16"
13639,12,"01TI16"
13642,12,"01ITC0"
13651,12,"01RT01"
13652,12,"01T100"
13672,12,"01T100"
13676,12,"01ITC0"
13680,12,"01ITT0"
13686,12,"01RT01"
13687,12,"01ITT0"
13689,12,"01ITC0"
13693,12,"01T100"
13694,12,"01T100"
13697,12,"01RH01"
13698,12,"01RT01"
13702,12,"01T100"
13718,12,"01DO00"
13720,12,"01ITS0"
13724,12,"01RH01"
13736,12,"01ITT0"
13747,12,"01NA00"
13755,12,"01RT01"
13759,12,"01TI29"
13763,12,"01ITE0"
13769,12,"01T100"
13773,12,"01T100"
13790,12,"01ITT0"
13791,12,"01ITT0"
13792,12,"01ITT0"
13802,12,"01ITC0"
13804,12,"01T100"
13806,12,"01T100"
13809,12,"01ND00"
13814,12,"01VB00"
13820,12,"01T100"
13827,12,"01RH01"
13830,12,"01T100"
13832,12,"01ITC0"
13836,12,"01ITS0"
13837,12,"01ITS0"
13839,12,"01SZ10"
13840,12,"01RH01"
13854,12,"01T100"
13857,12,"01T100"
13867,12,"01T100"
13871,12,"01R100"
13873,12,"01RT01"
13890,12,"01ITC0"
13891,12,"01KA00"
13914,12,"01ITC0"
13921,12,"01TR00"
13936,12,"01T100"
13944,12,"01KA00"
13946,12,"01ITT0"
13952,12,"01ITC0"
13956,7,"01T100"
13957,12,"01T100"
13975,12,"01IA00"
13978,12,"01ITT0"
13984,12,"01ITC0"
13989,12,"01TI29"
13990,12,"01TI29"
13999,12,"01ITS0"
14004,12,"01ITE0"
14006,12,"01RT01"
14011,12,"01T100"
14016,12,"01ED00"
14024,12,"01KA00"
14039,12,"01ITE0"
14047,12,"01NA00"
14053,12,"01RH01"
14066,12,"01ITC0"
14071,12,"01T100"
14078,12,"01NA00"
14083,12,"01ITI0"
14101,12,"01ITI0"
14117,12,"01TI70"
14123,12,"01RH01"
14126,12,"01ITS0"
14133,12,"01ITS0"
14135,12,"01RT01"
14136,12,"01T100"
14143,12,"01T100"
14151,12,"01RT01"
14165,12,"01RT01"
14172,12,"01TI29"
14174,5,"01ITT0"
14181,12,"01KF00"
14190,12,"01R100"
14191,12,"01ITC0"
14192,12,"01ED00"
14200,12,"01ITE0"
14201,12,"01RH01"
14202,12,"01ITE0"
14211,12,"01T100"
14213,12,"01KA00"
14238,12,"01TI80"
14250,12,"01NA00"
14255,12,"01RH01"
14259,12,"01RH01"
14263,12,"01ITI0"
14282,12,"01RT01"
14283,12,"01RT01"
14298,12,"01KA00"
14324,12,"01T100"
14326,12,"01PB10"
14331,12,"01TI80"
14349,12,"01ED00"
14350,12,"01RT01"
14356,12,"01T100"
14357,12,"01T100"
14358,12,"01TI80"
14380,12,"01TI80"
14381,12,"01ITE0"
14382,12,"01RH01"
14431,12,"01T100"
14433,12,"01TI16"
14449,12,"01T100"
14453,12,"01VV00"
14460,12,"01RH01"
14464,12,"01RH01"
14476,12,"01RH01"
14477,12,"01NA00"
14488,12,"01RH01"
14497,12,"01GR00"
14518,12,"01RH01"
14530,12,"01T100"
14536,12,"01T100"
14537,12,"01T100"
14539,12,"01ITC0"
14544,12,"01DR00"
14547,12,"01RT01"
14548,12,"01JD00"
14559,12,"01NA00"
14569,12,"01ITI0"
14570,12,"01RP00"
14571,12,"01RT01"
14575,12,"01TI80"
14581,12,"01RH01"
14592,12,"01NA00"
14617,12,"01KA00"
14620,12,"01T100"
14622,12,"01T100"
14627,12,"01TI80"
14629,12,"01RT01"
14631,12,"01TI29"
14634,12,"01TI29"
14637,12,"01RH01"
14644,12,"01DA00"
14652,12,"01ITS0"
14654,12,"01ITC0"
14660,12,"01ITC0"
14662,12,"01ITE0"
14672,12,"01PD00"
14676,11,"01VV00"
14685,12,"01JD00"
14686,12,"01RH01"
14693,12,"01T100"
14694,12,"01T100"
14701,12,"01T100"
14712,12,"01RP00"
14718,12,"01VB00"
14719,12,"01RP00"
14725,12,"01SZ10"
14726,12,"01DR00"
14728,12,"01KF00"
14734,12,"01ITC0"
14740,12,"01RH01"
14748,12,"01RT01"
14755,12,"01RP00"
14767,12,"01GR00"
14775,12,"01TI29"
14781,12,"01KA00"
14783,12,"01IT00"
14792,12,"01ITI0"
14802,12,"01T100"
14805,12,"01T100"
14806,12,"01JD00"
14818,12,"01ITC0"
14823,12,"01TR00"
14831,10,"01RH01"
14843,12,"01ITC0"
14847,12,"01PD00"
14848,12,"01TI16"
14849,12,"01ITC0"
14855,12,"01RH01"
14860,12,"01RH01"
14872,12,"01TI16"
14878,12,"01TI29"
14887,12,"01TI29"
14913,12,"01FK00"
14916,12,"01T100"
14917,12,"01KA00"
14924,12,"01RP00"
14927,12,"01RT01"
14932,12,"01ITI0"
14948,12,"01DA00"
14952,12,"01GR00"
14956,12,"01TI29"
14958,12,"01TI29"
14965,6,"01T100"
14970,12,"01T100"
14977,12,"01RH01"
14978,12,"01ITC0"
14979,12,"01T100"
14980,12,"01VV00"
14982,12,"01ITT0"
14995,12,"01RH01"
15017,12,"01ITI0"
15027,12,"01KA00"
15028,12,"01TI29"
15029,12,"01ED00"
15031,12,"01ED00"
15039,12,"01RP00"
15043,8,"01RH01"
15049,12,"01ITC0"
15050,12,"01LD00"
15051,12,"01ITC0"
15068,12,"01SZ10"
15073,12,"01TI80"
15147,12,"01ITE0"
15149,12,"01ITE0"
15174,4,"01RH01"
15176,12,"01RH01"
15189,12,"01TI29"
15190,5,"01TI80"
15191,12,"01JD00"
15192,12,"01T100"
15193,9,"01T100"
15196,12,"01T100"
15203,2,"01T100"
15208,12,"01JD00"
15211,7,"01T100"
15216,12,"01R100"
15217,12,"01RT01"
15220,12,"01T100"
15221,12,"01T100"
15222,12,"01ITC0"
15230,12,"01T100"
15232,1,"01T100"
15233,12,"01T100"
15235,12,"01T100"
15236,12,"01T100"
15238,12,"01T100"
15244,12,"01T100"
15245,12,"01T100"
15247,12,"01T100"
15249,12,"01DO00"
15254,12,"01T100"
15257,12,"01TI80"
15258,12,"01T100"
15259,12,"01TI80"
15260,12,"01T100"
15266,12,"01T100"
15269,12,"01T100"
15270,12,"01TI80"
15290,12,"01JD00"
15293,12,"01TI80"
15294,12,"01ITC0"
15296,12,"01KA00"
15306,12,"01T100"
15310,12,"01RT01"
15312,11,"01T100"
15313,12,"01T100"
15322,12,"01AS00"
15329,12,"01ITC0"
15332,12,"01TI29"
15336,12,"01ITT0"
15339,12,"01ITC0"
15355,12,"01RH01"
15361,12,"01ITC0"
15366,12,"01T100"
15389,12,"01PD00"
15399,12,"01AS00"
15435,12,"01T100"
15444,12,"01TI80"
15445,12,"01T100"
15446,12,"01T100"
15447,12,"01T100"
15453,12,"01TR00"
15457,12,"01NA00"
15461,12,"01RT01"
15463,12,"01ITC0"
15465,12,"01ITS0"
15467,12,"01KA00"
15479,12,"01T100"
15480,12,"01T100"
15481,12,"01T100"
15484,12,"01T100"
15485,12,"01T100"
15491,12,"01T100"
15495,12,"01RH01"
15496,12,"01DR00"
15499,12,"01T100"
15520,12,"01TI16"
15521,12,"01TI16"
15525,12,"01DR00"
15528,12,"01RH01"
15535,12,"01T100"
15539,12,"01TI16"
15558,12,"01T100"
15573,5,"01T100"
15579,12,"01DR00"
15589,12,"01TI29"
15596,12,"01TI80"
15603,12,"01JD00"
15607,12,"01NA00"
15624,12,"01RT01"
15634,12,"01ITC0"
15635,12,"01ITC0"
15638,12,"01ITE0"
15641,12,"01RH01"
15648,12,"01RP00"
15649,12,"01RH01"
15650,12,"01ITD0"
15654,12,"01RH01"
15659,12,"01T100"
15660,12,"01T100"
15662,12,"01T100"
15663,12,"01T100"
15673,12,"01VV00"
15686,12,"01RP00"
15687,12,"01JD00"
15696,12,"01JD00"
15714,12,"01RT01"
15715,12,"01RH01"
15726,12,"01ITC0"
15731,3,"01IA00"
15749,12,"01ITT0"
15750,11,"01TI16"
15751,12,"01KA00"
15752,12,"01KA00"
15753,12,"01RH01"
15754,12,"01TI16"
15756,12,"01RH01"
15776,12,"01TI29"
15779,12,"01DR00"
15793,12,"01T100"
15794,12,"01PB10"
15795,12,"01PB10"
15801,12,"01T100"
15810,12,"01T100"
15825,12,"01T100"
15826,12,"01T100"
15827,12,"01T100"
15830,12,"01ITC0"
15835,12,"01ITS0"
15840,12,"01T100"
15845,12,"01ITC0"
15862,12,"01RH01"
15869,12,"01T100"
15871,12,"01RH01"
15913,12,"01VD00"
15928,12,"01ITE0"
15929,12,"01IN00"
15942,12,"01ITE0"
15955,12,"01ITE0"
15958,12,"01RH01"
15959,12,"01TI80"
15961,12,"01TI80"
15964,12,"01TI80"
15974,12,"01TI16"
15975,12,"01TI16"
15977,12,"01TI16"
15989,8,"01PB10"
15992,12,"01ITC0"
15996,12,"01ITC0"
15997,12,"01TI80"
16003,12,"01DO00"
16021,6,"01PB10"
16027,12,"01T100"
16029,12,"01T100"
16030,12,"01T100"
16031,12,"01T100"
16032,12,"01T100"
16045,12,"01TI29"
16050,12,"01ITC0"
16052,12,"01ITC0"
16056,12,"01VB00"
16074,12,"01KA00"
16093,12,"01ITC0"
16094,12,"01ITC0"
16112,12,"01RH01"
16118,12,"01T100"
16120,12,"01T100"
16121,12,"01TI80"
16122,12,"01T100"
16123,12,"01TI80"
16124,12,"01T100"
16127,12,"01T100"
16139,12,"01ED00"
16146,12,"01ITT0"
16149,12,"01RH01"
16152,12,"01JD00"
16155,12,"01IA00"
16156,12,"01ITE0"
16157,12,"01T100"
16168,12,"01TI80"
16175,12,"01RH01"
16176,12,"01T100"
16193,12,"01AS00"
16203,12,"01RH01"
16204,12,"01T100"
16209,12,"01ITC0"
16211,12,"01KA00"
16215,12,"01T100"
16217,12,"01T100"
16218,12,"01T100"
16230,12,"01RH01"
16244,12,"01RH01"
16245,12,"01RH01"
16254,12,"01RH01"
16257,12,"01RH01"
16260,12,"01ITC0"
16263,12,"01T100"
16264,12,"01T100"
16265,12,"01T100"
16266,12,"01T100"
16268,12,"01T100"
16270,12,"01NA00"
16271,12,"01ITC0"
16272,12,"01ITE0"
16282,12,"01RH01"
16284,12,"01ITC0"
16285,12,"01ITE0"
16287,12,"01ITC0"
16296,12,"01RH01"
16299,12,"01JD00"
16300,12,"01JD00"
16301,12,"01RH01"
16302,12,"01RH01"
16325,12,"01T100"
16326,12,"01ITC0"
16331,12,"01RT01"
16336,12,"01ED00"
16341,12,"01ITC0"
16355,12,"01T100"
16362,12,"01FA00"
16363,12,"01ITC0"
16364,12,"01TR00"
16370,12,"01RH01"
16389,12,"01RH01"
16396,12,"01T100"
16402,12,"01RH01"
16409,12,"01ITC0"
16411,12,"01RT01"
16423,12,"01RH01"
16425,12,"01ND00"
16433,12,"01T100"
16434,3,"01T100"
16436,12,"01RH01"
16438,12,"01RH01"
16440,12,"01T100"
16441,12,"01T100"
16443,12,"01T100"
16444,12,"01T100"
16451,12,"01RH01"
16457,12,"01ITC0"
16464,8,"01TI16"
16465,12,"01TI16"
16484,12,"01T100"
16492,12,"01TI80"
16502,12,"01ITE0"
16510,12,"01TI80"
16514,12,"01LD00"
16518,12,"01ITC0"
16533,12,"01T100"
16534,12,"01T100"
16535,12,"01T100"
16543,12,"01ED00"
16554,12,"01GR00"
16556,12,"01T100"
16559,12,"01T100"
16572,12,"01ITT0"
16578,12,"01RH01"
16580,12,"01TI16"
16600,12,"01TI80"
16609,12,"01T100"
16615,12,"01ITE0"
16616,11,"01ITE0"
16637,12,"01RH01"
16640,12,"01ITC0"
16641,12,"01RH01"
16642,2,"01RH01"
16644,12,"01RH01"
16655,12,"01TI80"
16658,12,"01KA00"
16660,12,"01ITE0"
16666,12,"01JD00"
16667,12,"01RH01"
16669,10,"01PB10"
16678,12,"01RH01"
16680,12,"01T100"
16691,1,"01RH01"
16696,12,"01ED00"
16699,12,"01R100"
16711,12,"01TI80"
16713,12,"01RP00"
16721,12,"01VV00"
16723,12,"01T100"
16724,12,"01T100"
16725,12,"01T100"
16727,12,"01T100"
16728,12,"01T100"
16730,12,"01ITT0"
16733,12,"01ED00"
16734,12,"01TI80"
16737,12,"01ITT0"
16741,12,"01ITT0"
16747,12,"01TI80"
16753,12,"01RH01"
16757,12,"01TI80"
16762,12,"01ITE0"
16765,12,"01RT01"
16766,12,"01RT01"
16767,12,"01RH01"
16770,12,"01T100"
16776,12,"01RH01"
16780,12,"01T100"
16781,8,"01T100"
16788,12,"01ITI0"
16793,12,"01ITC0"
16800,12,"01KD00"
16801,12,"01TI16"
16802,10,"01ITE0"
16807,12,"01TI29"
16808,12,"01RH01"
16809,7,"01PB10"
16811,12,"01JD00"
16820,12,"01ED00"
16821,3,"01ED00"
16827,12,"01ITE0"
16828,12,"01RH01"
16831,6,"01T100"
16832,12,"01TI80"
16835,12,"01T100"
16851,12,"01TI29"
16852,12,"01TI29"
16854,12,"01RH01"
16855,12,"01VV00"
16856,12,"01TI80"
16857,12,"01TI80"
16874,12,"01TI29"
16899,10,"01TI80"
16906,2,"01T100"
16914,12,"01T100"
