"employeeID","months_worked2021"
"16733",12
"16734",12
"16737",12
"16741",12
"16747",12
"16753",12
"16757",12
"16762",12
"16765",12
"16766",12
"16767",12
"16770",12
"16776",12
"16780",12
"16781",8
"16788",12
"16793",12
"16800",12
"16801",12
"16802",10
"16807",12
"16808",12
"16809",7
"16811",12
"16820",12
"16821",3
"16827",12
"16828",12
"16831",6
"16832",12
"16835",12
"16851",12
"16852",12
"16854",12
"16855",12
"16856",12
"16857",12
"16874",12
"16899",10
"16906",2
"16914",12
"16916",12
"16917",12
"16923",12
"16925",12
"16926",12
"16927",12
"16928",12
"16930",12
"16941",12
"16945",12
"16954",12
"16958",12
"16960",12
"16961",2
"16963",12
"16964",12
"16965",12
"16966",12
"16967",12
"16968",6
"16978",12
"16996",12
"16997",12
"16998",12
"16999",12
"17002",12
"17006",3
"17019",12
"17020",12
"17021",12
"17024",12
"17033",12
"17048",12
"17049",12
"17058",12
"17059",12
"17063",12
"17068",12
"17075",12
"17077",12
"17079",12
"17081",12
"17082",12
"17086",12
"17089",12
"17093",12
"17096",12
"17097",12
"17099",12
"17103",12
"17108",12
"17110",12
"17113",12
"17114",12
"17115",12
"17121",12
"17122",12
"17127",12
"17134",12
"17136",12
"17140",12
"17148",12
"17160",12
"17167",12
"17175",12
"17180",12
"17184",12
"17188",12
"17189",12
"17191",12
"17193",12
"17208",12
"17210",6
"17212",5
"17215",12
"17224",12
"17225",12
"17226",12
"17231",12
"17239",12
"17241",11
"17245",12
"17249",12
"17258",12
"17265",12
"17274",12
"17275",12
"17278",12
"17279",12
"17284",12
"17285",12
"17289",12
"17301",12
"17302",12
"17303",12
"17305",12
"17308",12
"17314",12
"17343",12
"17513",12
"17519",12
"17520",12
"17521",12
"17539",8
"17556",12
"17561",12
"17562",12
"17563",12
"17564",12
"17565",11
"17566",7
"17575",7
"17576",12
"17579",11
"17587",12
"17588",12
"17589",12
"17590",4
"17600",12
"17602",12
"17603",7
"17604",3
"17605",2
"17610",12
"17613",11
"17617",11
"17618",3
"17620",11
"17621",10
"17622",10
"17623",10
"17624",10
"17631",10
"17632",10
"17635",9
"17638",9
"17639",9
"17640",4
"17643",9
"17645",9
"17647",9
"17649",9
"17650",9
"17651",2
"17654",9
"17655",9
"17657",9
"17658",8
"17659",8
"17663",3
"17666",3
"17667",7
"17672",7
"17673",7
"17674",4
"17675",7
"17676",7
"17677",7
"17680",7
"17681",7
"17683",7
"17688",7
"17690",6
"17691",7
"17692",7
"17693",6
"17694",6
"17695",6
"17700",6
"17720",5
"17721",4
"17724",5
"17729",4
"17736",4
"17750",3
"17751",3
"17752",3
"17753",3
"17754",3
"17755",3
"17769",2
"17770",2
"17771",2
"17773",2
